Address,Rank,Size,Symbol,Tag
0x00112020,U,000212,Backup::getSavePath,
0x00112128,U,000208,Backup::Backup,
0x00112214,U,000292,,
0x00112340,U,000116,,
0x001123B8,U,000196,,
0x00112494,U,000144,GameWork::startPlayTime,
0x00112530,U,000024,GameWork::updatePcStatus,
0x00112548,U,000964,GameWork::UpdatePcStatus,
0x00112928,U,000272,GameWork::addItem,
0x00112A40,U,000204,REDSPARK::Sd::RSTrackMan,
0x00112B20,U,000056,,
0x00112B5C,U,000288,REDSPARK::Sd::RSVoiceMan::RSVoiceMan,
0x00112C90,U,000112,,
0x00112D08,U,000016,,
0x00112D1C,U,000028,,
0x00112D3C,U,000012,REDSPARK::Sd::RSSound::GetInstance,
0x00112D4C,U,000172,,
0x00113028,U,000028,,
0x00113044,U,001044,nw::snd::internal::driver::HardwareManager::SetMasterVolume,
0x0011349C,U,000320,,
0x001135F0,U,000064,,
0x00113630,U,000052,REDSPARK::Sd::RSSound::isStandby,
0x00113668,U,000060,,
0x001136A4,U,000044,,
0x001136D0,U,000172,REDSPARK::Sd::RSMemory::RSMemory,
0x001137B8,U,000040,REDSPARK::Sd::RSSound::initializeDataMan,
0x001137E8,U,000016,,
0x001137FC,U,000112,CellAnime::init,
0x00113874,U,000160,CtrJobMan::start,
0x00113924,U,000120,CtrJobMan::init,
0x001139AC,U,000176,CtrJobMan::term,
0x00113A5C,U,000116,CtrJobMan::CtrJobMan,
0x00113ADC,U,000256,CtrJobMan::~CtrJobMan,
0x00113BE8,U,000008,,
0x00113BF0,U,000088,nn::fs::detail::FileBase::TryGetSize,
0x00113C48,U,000524,,
0x00113E84,U,000420,,
0x00114060,U,000828,,
0x001143B4,U,000036,operator_new[],
0x001143D8,U,000312,__fb_finalizeFBManager,
0x00114520,U,000064,__fb_initializeFBManager,
0x00114564,U,000756,__shm_finalizeShaderManager,
0x00114860,U,002008,__shm_initializeShaderManager,
0x001150A8,U,001308,__srf_initSurface,
0x001155E4,U,000024,__sta_finalizeState,
0x00115600,U,001136,__sta_initializeState,
0x00115A98,U,000828,__tx_finalizeTexManager,
0x00115DE0,U,000420,__tx_initializeTexManager,
0x00115F94,U,000296,__vb_finalizeVBManager,
0x001160C8,U,000104,__vb_initializeVBManager,
0x0011613C,U,000024,__vldtr_finalizeStateValidator,
0x00116158,U,000060,__vldtr_initializeStateValidator,
0x00116198,U,000100,fb_createFramebuffer,
0x00116200,U,000244,glBindFramebuffer,
0x001162FC,U,000328,glBindFramebuffer,
0x0011644C,U,000112,nngxAddVramDmaCommand,
0x001164C0,U,000032,nngxGetAllocator,
0x001164E4,U,000376,nngxSplitDrawCmdlist,
0x0011667C,U,000132,nngxWaitVSync,
0x00116704,U,000100,nnosAddressSpaceManagerInitialize,
0x00116768,U,000060,,
0x001167A8,U,000064,,
0x001167EC,U,000064,,
0x00116840,U,000200,nn::fs::CTR::MPCore::detail::FindArchive_wchar_t_,
0x0011690C,U,000016,nn::os::Thread::TypeInfo::Copy_void,
0x0011691C,U,000012,nn::os::Thread::TypeInfo::Invoke_void,
0x00116928,U,000004,nn::os::Thread::TypeInfo::Destroy_void,
0x0011692C,U,000160,,
0x001169CC,U,000032,nn::math::ARMv6::MTX34CopyAsm,
0x001169EC,U,000016,,
0x001169FC,U,000060,nn::math::ARMv6::VEC3TransformAsm,
0x00116A38,U,000008,,
0x00116A40,U,000020,nn::math::ARMv6::MTX44CopyAsm,
0x00116A5C,U,000008,,
0x00116A6C,U,000008,,
0x00116A74,U,000028,nnutilReferSymbol_,
0x00116A90,U,000036,nn::svc::CreateThread,
0x00116AB4,U,000012,nngxlowGetSystemTick,
0x00116AC0,U,000080,__aeabi_ldivmod,
0x00116B10,U,000016,__aeabi_memset,
0x00116B20,U,000020,GlobalEvent::getRegister,
0x00116B34,U,000436,GetRegFlag,
0x00116D2C,U,000144,,
0x00116DBC,U,000256,CtrJobMan_startcritsection,
